序号,歌名,作者/原唱,最新链接,最新投稿时间,BVID,分P
14,青春アミーゴ,修二と彰,https://www.bilibili.com/video/BV1gdGi6REZz?p=2,2026-05-23 15:34:56,BV1gdGi6REZz,2
15,明日も,SHISHAMO,https://www.bilibili.com/video/BV1gdGi6REZz?p=11,2026-05-23 15:34:56,BV1gdGi6REZz,11
16,Defying Gravity,Idina Menzel、Kristin Chenoweth,https://www.bilibili.com/video/BV1gcLv6WESZ?p=17,2026-05-22 06:48:20,BV1gcLv6WESZ,17
17,アラビアン・ナイト,山寺宏一,https://www.bilibili.com/video/BV1gcLv6WESZ?p=4,2026-05-22 06:48:20,BV1gcLv6WESZ,4
18,アンダー・ザ・シー,上條恒彦,https://www.bilibili.com/video/BV1gcLv6WESZ?p=1,2026-05-22 06:48:20,BV1gcLv6WESZ,1
19,コンパス・オブ・ユア・ハート,坂元健児,https://www.bilibili.com/video/BV1gcLv6WESZ?p=12,2026-05-22 06:48:20,BV1gcLv6WESZ,12
20,スピーチレス～心の声,木下晴香,https://www.bilibili.com/video/BV1gcLv6WESZ?p=7,2026-05-22 06:48:20,BV1gcLv6WESZ,7
21,そばにいて,小西のりゆき、根本泰彦,https://www.bilibili.com/video/BV1gcLv6WESZ?p=20,2026-05-22 06:48:20,BV1gcLv6WESZ,20
22,どこまでも ~How Far I'll Go~,屋比久知奈,https://www.bilibili.com/video/BV1gcLv6WESZ?p=10,2026-05-22 06:48:20,BV1gcLv6WESZ,10
23,パート・オブ・ユア・ワールド,すずきまゆみ,https://www.bilibili.com/video/BV1gcLv6WESZ?p=8,2026-05-22 06:48:20,BV1gcLv6WESZ,8
24,ハクナ・マタタ,三ツ矢雄二、小林アトム、宮本充、中崎達也,https://www.bilibili.com/video/BV1gcLv6WESZ?p=16,2026-05-22 06:48:20,BV1gcLv6WESZ,16
25,ひとりぼっちの晩餐会,ポプラ・若江準威知・コーラス,https://www.bilibili.com/video/BV1gcLv6WESZ?p=3,2026-05-22 06:48:20,BV1gcLv6WESZ,3
26,フレンド・ライク・ミー,山寺宏一,https://www.bilibili.com/video/BV1gcLv6WESZ?p=5,2026-05-22 06:48:20,BV1gcLv6WESZ,5
27,ホール・ニュー・ワールド,石井一孝・麻生かほ里,https://www.bilibili.com/video/BV1gcLv6WESZ?p=6,2026-05-22 06:48:20,BV1gcLv6WESZ,6
28,哀れな人々,森公美子,https://www.bilibili.com/video/BV1gcLv6WESZ?p=9,2026-05-22 06:48:20,BV1gcLv6WESZ,9
29,叶えたいこの夢を,鈴木より子,https://www.bilibili.com/video/BV1gcLv6WESZ?p=19,2026-05-22 06:48:20,BV1gcLv6WESZ,19
30,君がいないと,石塚英彦、田中裕二,https://www.bilibili.com/video/BV1gcLv6WESZ?p=14,2026-05-22 06:48:20,BV1gcLv6WESZ,14
31,君はともだち,ダイアモンド☆ユカイ,https://www.bilibili.com/video/BV1gcLv6WESZ?p=15,2026-05-22 06:48:20,BV1gcLv6WESZ,15
32,生まれてはじめて,神田沙也加、松たか子,https://www.bilibili.com/video/BV1gcLv6WESZ?p=13,2026-05-22 06:48:20,BV1gcLv6WESZ,13
33,朝の風景,伊東恵里,https://www.bilibili.com/video/BV1gcLv6WESZ?p=2,2026-05-22 06:48:20,BV1gcLv6WESZ,2
34,魔法の花,小此木麻里,https://www.bilibili.com/video/BV1gcLv6WESZ?p=11,2026-05-22 06:48:20,BV1gcLv6WESZ,11
35,夢はひそかに,鈴木より子,https://www.bilibili.com/video/BV1gcLv6WESZ?p=18,2026-05-22 06:48:20,BV1gcLv6WESZ,18
36,Minute by Minute,Penthouse,https://www.bilibili.com/video/BV1oTLs6BEA5?p=10,2026-05-21 04:37:14,BV1oTLs6BEA5,10
37,シャリューゲ,*Luna feat. 音街ウナ・Rana,https://www.bilibili.com/video/BV1oTLs6BEA5?p=7,2026-05-21 04:37:14,BV1oTLs6BEA5,7
38,デイブレイクフロントライン,Orangestar feat. IA,https://www.bilibili.com/video/BV1oTLs6BEA5?p=6,2026-05-21 04:37:14,BV1oTLs6BEA5,6
39,一二三,Penthouse,https://www.bilibili.com/video/BV1oTLs6BEA5?p=8,2026-05-21 04:37:14,BV1oTLs6BEA5,8
40,花に亡霊,ヨルシカ,https://www.bilibili.com/video/BV1oTLs6BEA5?p=2,2026-05-21 04:37:14,BV1oTLs6BEA5,2
41,我愛你,Penthouse,https://www.bilibili.com/video/BV1oTLs6BEA5?p=9,2026-05-21 04:37:14,BV1oTLs6BEA5,9
42,季節と私の話。,めいちゃん,https://www.bilibili.com/video/BV1oTLs6BEA5?p=4,2026-05-21 04:37:14,BV1oTLs6BEA5,4
43,私は最強,Ado,https://www.bilibili.com/video/BV1oTLs6BEA5?p=5,2026-05-21 04:37:14,BV1oTLs6BEA5,5
44,青く在れ,Penthouse,https://www.bilibili.com/video/BV1oTLs6BEA5?p=11,2026-05-21 04:37:14,BV1oTLs6BEA5,11
45,閃光花,Penthouse,https://www.bilibili.com/video/BV1oTLs6BEA5?p=12,2026-05-21 04:37:14,BV1oTLs6BEA5,12
46,I LOVE YOU,尾崎豊,https://www.bilibili.com/video/BV1K5LN6AE2X?p=17,2026-05-19 10:59:00,BV1K5LN6AE2X,17
47,アイ・アイ・ア,Ado,https://www.bilibili.com/video/BV1K5LN6AE2X?p=14,2026-05-19 10:59:00,BV1K5LN6AE2X,14
48,アイロニ,すこっぷ feat. 初音ミク,https://www.bilibili.com/video/BV1K5LN6AE2X?p=18,2026-05-19 10:59:00,BV1K5LN6AE2X,18
49,あたしが死んでも,コレサワ,https://www.bilibili.com/video/BV1K5LN6AE2X?p=10,2026-05-19 10:59:00,BV1K5LN6AE2X,10
50,カブトムシ,aiko,https://www.bilibili.com/video/BV1K5LN6AE2X?p=7,2026-05-19 10:59:00,BV1K5LN6AE2X,7
51,さよならエレジー,菅田将暉,https://www.bilibili.com/video/BV1K5LN6AE2X?p=11,2026-05-19 10:59:00,BV1K5LN6AE2X,11
52,シンデレラボーイ,Saucy Dog,https://www.bilibili.com/video/BV1K5LN6AE2X?p=9,2026-05-19 10:59:00,BV1K5LN6AE2X,9
53,テルーの唄,手嶌葵,https://www.bilibili.com/video/BV1K5LN6AE2X?p=6,2026-05-19 10:59:00,BV1K5LN6AE2X,6
54,フィナーレ。,eill,https://www.bilibili.com/video/BV1K5LN6AE2X?p=20,2026-05-19 10:59:00,BV1K5LN6AE2X,20
55,ラプンツェル,n-buna feat. 初音ミク,https://www.bilibili.com/video/BV1K5LN6AE2X?p=4,2026-05-19 10:59:00,BV1K5LN6AE2X,4
56,レディメイド,Ado,https://www.bilibili.com/video/BV1K5LN6AE2X?p=15,2026-05-19 10:59:00,BV1K5LN6AE2X,15
57,花束,back number,https://www.bilibili.com/video/BV1K5LN6AE2X?p=8,2026-05-19 10:59:00,BV1K5LN6AE2X,8
58,月のワルツ,諫山実生,https://www.bilibili.com/video/BV1K5LN6AE2X?p=19,2026-05-19 10:59:00,BV1K5LN6AE2X,19
59,自由への扉,小此木麻里,https://www.bilibili.com/video/BV1K5LN6AE2X?p=5,2026-05-19 10:59:00,BV1K5LN6AE2X,5
60,上を向いて歩こう,坂本九,https://www.bilibili.com/video/BV1K5LN6AE2X?p=16,2026-05-19 10:59:00,BV1K5LN6AE2X,16
61,島人ぬ宝,BEGIN,https://www.bilibili.com/video/BV1K5LN6AE2X?p=3,2026-05-19 10:59:00,BV1K5LN6AE2X,3
62,片っぽ,eill,https://www.bilibili.com/video/BV1K5LN6AE2X?p=21,2026-05-19 10:59:00,BV1K5LN6AE2X,21
63,夜もすがら君想ふ,西沢さんP feat. GUMI,https://www.bilibili.com/video/BV1K5LN6AE2X?p=12,2026-05-19 10:59:00,BV1K5LN6AE2X,12
64,翼をください,赤い鳥,https://www.bilibili.com/video/BV1K5LN6AE2X?p=1,2026-05-19 10:59:00,BV1K5LN6AE2X,1
65,flos,R Sound Design feat. 初音ミク,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=38,2026-05-18 04:50:18,BV1Qb5o6SEkZ,38
66,GALA,XG,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=30,2026-05-18 04:50:18,BV1Qb5o6SEkZ,30
67,lulu.,Mrs. GREEN APPLE,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=37,2026-05-18 04:50:18,BV1Qb5o6SEkZ,37
68,Make you hot!,あたたかくなる,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=28,2026-05-18 04:50:18,BV1Qb5o6SEkZ,28
69,アスノヨゾラ哨戒班,Orangestar feat. IA,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=26,2026-05-18 04:50:18,BV1Qb5o6SEkZ,26
70,イージーゲーム,natsumi feat. 和ぬか,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=2,2026-05-18 04:50:18,BV1Qb5o6SEkZ,2
71,エンジョイ,めいちゃん,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=35,2026-05-18 04:50:18,BV1Qb5o6SEkZ,35
72,クスシキ,Mrs. GREEN APPLE,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=13,2026-05-18 04:50:18,BV1Qb5o6SEkZ,13
73,けっかおーらい,こっちのけんと,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=17,2026-05-18 04:50:18,BV1Qb5o6SEkZ,17
74,ずうっといっしょ！,キタニタツヤ,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=31,2026-05-18 04:50:18,BV1Qb5o6SEkZ,31
75,すみれ色の紅,紅葉丸,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=41,2026-05-18 04:50:18,BV1Qb5o6SEkZ,41
76,ダンスホール,Mrs. GREEN APPLE,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=40,2026-05-18 04:50:18,BV1Qb5o6SEkZ,40
77,チャイナアドバイス,相対性理論,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=20,2026-05-18 04:50:18,BV1Qb5o6SEkZ,20
78,ちゅ、多様性。,ano,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=19,2026-05-18 04:50:18,BV1Qb5o6SEkZ,19
79,ともに,WANIMA,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=36,2026-05-18 04:50:18,BV1Qb5o6SEkZ,36
80,なにやってもうまくいかない,meiyo,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=4,2026-05-18 04:50:18,BV1Qb5o6SEkZ,4
81,はいよろこんで,こっちのけんと,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=16,2026-05-18 04:50:18,BV1Qb5o6SEkZ,16
82,プロポーズ,なとり,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=32,2026-05-18 04:50:18,BV1Qb5o6SEkZ,32
83,マシュマロ,DECO*27 feat. 初音ミク,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=33,2026-05-18 04:50:18,BV1Qb5o6SEkZ,33
84,ヨワネハキ,"MAISONdes feat. 和ぬか, asmi",https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=3,2026-05-18 04:50:18,BV1Qb5o6SEkZ,3
85,一難,Penthouse,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=24,2026-05-18 04:50:18,BV1Qb5o6SEkZ,24
86,夏祭り,Whiteberry,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=10,2026-05-18 04:50:18,BV1Qb5o6SEkZ,10
87,火種,キタニタツヤ,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=1,2026-05-18 04:50:18,BV1Qb5o6SEkZ,1
88,花になって,緑黄色社会,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=14,2026-05-18 04:50:18,BV1Qb5o6SEkZ,14
89,鬼ノ宴,友成空,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=11,2026-05-18 04:50:18,BV1Qb5o6SEkZ,11
90,好きすぎて滅！,M!LK,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=27,2026-05-18 04:50:18,BV1Qb5o6SEkZ,27
91,祭り囃子でゲラゲラポー,キング・クリームソーダ,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=9,2026-05-18 04:50:18,BV1Qb5o6SEkZ,9
92,死ぬな！,こっちのけんと,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=15,2026-05-18 04:50:18,BV1Qb5o6SEkZ,15
93,少女レイ,みきとP feat. 初音ミク,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=5,2026-05-18 04:50:18,BV1Qb5o6SEkZ,5
94,晴る,ヨルシカ,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=39,2026-05-18 04:50:18,BV1Qb5o6SEkZ,39
95,絶頂讃歌,和ぬか,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=7,2026-05-18 04:50:18,BV1Qb5o6SEkZ,7
96,百鬼祭,Kanaria feat. 初音ミク,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=8,2026-05-18 04:50:18,BV1Qb5o6SEkZ,8
97,物の怪の類,めいちゃん,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=18,2026-05-18 04:50:18,BV1Qb5o6SEkZ,18
98,命に嫌われている。,カンザキイオリ feat. 初音ミク,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=34,2026-05-18 04:50:18,BV1Qb5o6SEkZ,34
99,懺悔参り,羽生まゐご feat. v flower,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=6,2026-05-18 04:50:18,BV1Qb5o6SEkZ,6
100,睨めっ娘,友成空,https://www.bilibili.com/video/BV1Qb5o6SEkZ?p=12,2026-05-18 04:50:18,BV1Qb5o6SEkZ,12
101,Butter-Fly,和田光司,https://www.bilibili.com/video/BV12A5B6RE51?p=1,2026-05-16 04:14:41,BV12A5B6RE51,1
102,Mad at Disney,salem ilese,https://www.bilibili.com/video/BV12A5B6RE51?p=12,2026-05-16 04:14:41,BV12A5B6RE51,12
103,ヴァンパイア,DECO*27 feat. 初音ミク,https://www.bilibili.com/video/BV12A5B6RE51?p=6,2026-05-16 04:14:41,BV12A5B6RE51,6
104,ゴシップ,OSTER project feat. 初音ミクAppend,https://www.bilibili.com/video/BV12A5B6RE51?p=9,2026-05-16 04:14:41,BV12A5B6RE51,9
105,サンドリヨン,Dios/シグナルP feat. 初音ミク・KAITO,https://www.bilibili.com/video/BV12A5B6RE51?p=10,2026-05-16 04:14:41,BV12A5B6RE51,10
106,シル・ヴ・プレジデント,P丸様。,https://www.bilibili.com/video/BV12A5B6RE51?p=5,2026-05-16 04:14:41,BV12A5B6RE51,5
107,デビルマンのうた,十田敬三、ボーカル・ショップ,https://www.bilibili.com/video/BV12A5B6RE51?p=3,2026-05-16 04:14:41,BV12A5B6RE51,3
108,ペガサス幻想,MAKE-UP,https://www.bilibili.com/video/BV12A5B6RE51?p=2,2026-05-16 04:14:41,BV12A5B6RE51,2
109,ルパン三世のテーマ,ピート・マック・ジュニア,https://www.bilibili.com/video/BV12A5B6RE51?p=11,2026-05-16 04:14:41,BV12A5B6RE51,11
110,レット・イット・ゴー～ありのままで～,松たか子,https://www.bilibili.com/video/BV12A5B6RE51?p=4,2026-05-16 04:14:41,BV12A5B6RE51,4
111,幾億光年,Omoinotake,https://www.bilibili.com/video/BV12A5B6RE51?p=15,2026-05-16 04:14:41,BV12A5B6RE51,15
112,死神,米津玄師,https://www.bilibili.com/video/BV12A5B6RE51?p=7,2026-05-16 04:14:41,BV12A5B6RE51,7
113,Calc.,ジミーサムP feat. 初音ミク,https://www.bilibili.com/video/BV1sU5S69EHA?p=6,2026-05-14 10:15:24,BV1sU5S69EHA,6
114,オー・シャンゼリゼ,ピーター,https://www.bilibili.com/video/BV1sU5S69EHA?p=1,2026-05-14 10:15:24,BV1sU5S69EHA,1
115,ケセラセラ,Mrs. GREEN APPLE,https://www.bilibili.com/video/BV1sU5S69EHA?p=7,2026-05-14 10:15:24,BV1sU5S69EHA,7
116,ダーリン,須田景凪,https://www.bilibili.com/video/BV1sU5S69EHA?p=4,2026-05-14 10:15:24,BV1sU5S69EHA,4
117,人として,SUPER BEAVER,https://www.bilibili.com/video/BV1sU5S69EHA?p=3,2026-05-14 10:15:24,BV1sU5S69EHA,3
118,KING,Kanaria feat. GUMI,https://www.bilibili.com/video/BV1xd5g61Egu?p=1,2026-05-13 03:21:06,BV1xd5g61Egu,1
119,ヴィラン,てにをは feat. v flower,https://www.bilibili.com/video/BV1xd5g61Egu?p=8,2026-05-13 03:21:06,BV1xd5g61Egu,8
120,うらみのワルツ,きくお feat. 初音ミク,https://www.bilibili.com/video/BV1xd5g61Egu?p=7,2026-05-13 03:21:06,BV1xd5g61Egu,7
121,かなしみのなみにおぼれる,Neru feat. 鏡音レン,https://www.bilibili.com/video/BV1xd5g61Egu?p=12,2026-05-13 03:21:06,BV1xd5g61Egu,12
122,きゅうくらりん,いよわ feat. 可不,https://www.bilibili.com/video/BV1xd5g61Egu?p=17,2026-05-13 03:21:06,BV1xd5g61Egu,17
123,ころしちゃった!,夏山よつぎ feat. 初音ミク,https://www.bilibili.com/video/BV1xd5g61Egu?p=3,2026-05-13 03:21:06,BV1xd5g61Egu,3
124,サイコ,超学生,https://www.bilibili.com/video/BV1xd5g61Egu?p=5,2026-05-13 03:21:06,BV1xd5g61Egu,5
125,セレナーデ,なとり,https://www.bilibili.com/video/BV1xd5g61Egu?p=2,2026-05-13 03:21:06,BV1xd5g61Egu,2
126,フィラデルフィア,Gero,https://www.bilibili.com/video/BV1xd5g61Egu?p=18,2026-05-13 03:21:06,BV1xd5g61Egu,18
127,へべれけジャンキー,syudou feat. 初音ミク,https://www.bilibili.com/video/BV1xd5g61Egu?p=9,2026-05-13 03:21:06,BV1xd5g61Egu,9
128,りりかる,100回嘔吐 feat. v flower,https://www.bilibili.com/video/BV1xd5g61Egu?p=13,2026-05-13 03:21:06,BV1xd5g61Egu,13
129,ルームNo.4,超学生,https://www.bilibili.com/video/BV1xd5g61Egu?p=4,2026-05-13 03:21:06,BV1xd5g61Egu,4
130,偽物人間40号,¿?shimon feat. v flower,https://www.bilibili.com/video/BV1xd5g61Egu?p=10,2026-05-13 03:21:06,BV1xd5g61Egu,10
131,孤独毒毒,syudou feat. 初音ミク,https://www.bilibili.com/video/BV1xd5g61Egu?p=11,2026-05-13 03:21:06,BV1xd5g61Egu,11
132,生きる,吐息 feat. v flower、Arh,https://www.bilibili.com/video/BV1xd5g61Egu?p=14,2026-05-13 03:21:06,BV1xd5g61Egu,14
133,アイデア,星野源,https://www.bilibili.com/video/BV1875t6vEBW?p=6,2026-05-11 23:55:32,BV1875t6vEBW,6
134,ウミユリ海底譚,n-buna feat. 初音ミク,https://www.bilibili.com/video/BV1875t6vEBW?p=1,2026-05-11 23:55:32,BV1875t6vEBW,1
135,タイムパラドックス,Vaundy,https://www.bilibili.com/video/BV1875t6vEBW?p=4,2026-05-11 23:55:32,BV1875t6vEBW,4
136,ラブレター・フロム・メランコリー,カラスヤサボウ feat. 初音ミク,https://www.bilibili.com/video/BV1875t6vEBW?p=5,2026-05-11 23:55:32,BV1875t6vEBW,5
137,異世界混合大舞踏会 feat. おばけ,星野源,https://www.bilibili.com/video/BV1875t6vEBW?p=7,2026-05-11 23:55:32,BV1875t6vEBW,7
138,IRIS OUT,米津玄師,https://www.bilibili.com/video/BV1pH5H6BELC?p=12,2026-05-11 02:54:36,BV1pH5H6BELC,12
139,KICK BACK,米津玄師,https://www.bilibili.com/video/BV1pH5H6BELC?p=4,2026-05-11 02:54:36,BV1pH5H6BELC,4
140,unravel,TK from 凛として時雨,https://www.bilibili.com/video/BV1pH5H6BELC?p=15,2026-05-11 02:54:36,BV1pH5H6BELC,15
141,あぶく,ヨルシカ,https://www.bilibili.com/video/BV1pH5H6BELC?p=7,2026-05-11 02:54:36,BV1pH5H6BELC,7
142,ウタカタララバイ,Ado,https://www.bilibili.com/video/BV1pH5H6BELC?p=9,2026-05-11 02:54:36,BV1pH5H6BELC,9
143,炎,LiSA,https://www.bilibili.com/video/BV1pH5H6BELC?p=13,2026-05-11 02:54:36,BV1pH5H6BELC,13
144,革命道中,アイナ・ジ・エンド,https://www.bilibili.com/video/BV1pH5H6BELC?p=11,2026-05-11 02:54:36,BV1pH5H6BELC,11
145,残響散歌,Aimer,https://www.bilibili.com/video/BV1pH5H6BELC?p=3,2026-05-11 02:54:36,BV1pH5H6BELC,3
146,創聖のアクエリオン,AKINO,https://www.bilibili.com/video/BV1pH5H6BELC?p=16,2026-05-11 02:54:36,BV1pH5H6BELC,16
147,Jukebox Driver,Penthouse,https://www.bilibili.com/video/BV1SUdKBuEVy?p=3,2026-05-08 09:42:17,BV1SUdKBuEVy,3
148,Planetary,Penthouse,https://www.bilibili.com/video/BV1SUdKBuEVy?p=4,2026-05-08 09:42:17,BV1SUdKBuEVy,4
149,Taxi to the Moon,Penthouse,https://www.bilibili.com/video/BV1SUdKBuEVy?p=7,2026-05-08 09:42:17,BV1SUdKBuEVy,7
150,ナンセンス,Penthouse,https://www.bilibili.com/video/BV1SUdKBuEVy?p=8,2026-05-08 09:42:17,BV1SUdKBuEVy,8
151,隣の恋は青,Penthouse,https://www.bilibili.com/video/BV1SUdKBuEVy?p=1,2026-05-08 09:42:17,BV1SUdKBuEVy,1
152,Beyond the way,Giga,https://www.bilibili.com/video/BV1nvRbBWEH4?p=20,2026-05-07 05:56:12,BV1nvRbBWEH4,20
153,Blessing,halyosy,https://www.bilibili.com/video/BV1nvRbBWEH4?p=22,2026-05-07 05:56:12,BV1nvRbBWEH4,22
154,Bling-Bang-Bang-Born,Creepy Nuts,https://www.bilibili.com/video/BV1nvRbBWEH4?p=19,2026-05-07 05:56:12,BV1nvRbBWEH4,19
155,JANE DOE,米津玄師・宇多田ヒカル,https://www.bilibili.com/video/BV1nvRbBWEH4?p=5,2026-05-07 05:56:12,BV1nvRbBWEH4,5
156,magnet,minato,https://www.bilibili.com/video/BV1nvRbBWEH4?p=6,2026-05-07 05:56:12,BV1nvRbBWEH4,6
157,アイドル,YOASOBI,https://www.bilibili.com/video/BV1nvRbBWEH4?p=8,2026-05-07 05:56:12,BV1nvRbBWEH4,8
158,おじゃま虫,DECO*27,https://www.bilibili.com/video/BV1nvRbBWEH4?p=27,2026-05-07 05:56:12,BV1nvRbBWEH4,27
159,すずめ feat.十明,RADWIMPS,https://www.bilibili.com/video/BV1nvRbBWEH4?p=3,2026-05-07 05:56:12,BV1nvRbBWEH4,3
160,にっこり^^調査隊のテーマ,WONDERFUL★OPPORTUNITY!,https://www.bilibili.com/video/BV1nvRbBWEH4?p=23,2026-05-07 05:56:12,BV1nvRbBWEH4,23
161,ピエロ,KEI,https://www.bilibili.com/video/BV1nvRbBWEH4?p=13,2026-05-07 05:56:12,BV1nvRbBWEH4,13
162,ブリキノダンス,日向電工,https://www.bilibili.com/video/BV1nvRbBWEH4?p=11,2026-05-07 05:56:12,BV1nvRbBWEH4,11
163,わたしの一番かわいいところ,FRUITS ZIPPER,https://www.bilibili.com/video/BV1nvRbBWEH4?p=26,2026-05-07 05:56:12,BV1nvRbBWEH4,26
164,可愛くてごめん,HoneyWorks,https://www.bilibili.com/video/BV1nvRbBWEH4?p=28,2026-05-07 05:56:12,BV1nvRbBWEH4,28
165,怪獣,サカナクション,https://www.bilibili.com/video/BV1nvRbBWEH4?p=1,2026-05-07 05:56:12,BV1nvRbBWEH4,1
166,怪獣の花唄,Vaundy,https://www.bilibili.com/video/BV1nvRbBWEH4?p=16,2026-05-07 05:56:12,BV1nvRbBWEH4,16
167,脳漿炸裂ガール,れるりり feat. 初音ミク/GUMI,https://www.bilibili.com/video/BV1nvRbBWEH4?p=10,2026-05-07 05:56:12,BV1nvRbBWEH4,10
168,晩餐歌,tuki.,https://www.bilibili.com/video/BV1nvRbBWEH4?p=15,2026-05-07 05:56:12,BV1nvRbBWEH4,15
169,六兆年と一夜物語,kemu,https://www.bilibili.com/video/BV1nvRbBWEH4?p=12,2026-05-07 05:56:12,BV1nvRbBWEH4,12
170,贖罪,傘村トータ,https://www.bilibili.com/video/BV1nvRbBWEH4?p=14,2026-05-07 05:56:12,BV1nvRbBWEH4,14
171,Booo!,TOKOTOKO,https://www.bilibili.com/video/BV1ZTRJBDEc6?p=2,2026-05-06 01:17:39,BV1ZTRJBDEc6,2
172,おジャ魔女カーニバル!!,MAHO堂,https://www.bilibili.com/video/BV1ZTRJBDEc6?p=5,2026-05-06 01:17:39,BV1ZTRJBDEc6,5
173,おしりかじり虫,おしりかじり虫,https://www.bilibili.com/video/BV1ZTRJBDEc6?p=3,2026-05-06 01:17:39,BV1ZTRJBDEc6,3
174,きょういくばんぐみのテーマ,やみの おねえさん,https://www.bilibili.com/video/BV1ZTRJBDEc6?p=9,2026-05-06 01:17:39,BV1ZTRJBDEc6,9
175,ドレミファロンド,40mP feat.初音ミク,https://www.bilibili.com/video/BV1ZTRJBDEc6?p=12,2026-05-06 01:17:39,BV1ZTRJBDEc6,12
176,ハッピー・ジャムジャム,しまじろう・みみりん・とりっぴい・にゃっきい,https://www.bilibili.com/video/BV1ZTRJBDEc6?p=18,2026-05-06 01:17:39,BV1ZTRJBDEc6,18
177,ハッピーラッキーチャッピー,ano,https://www.bilibili.com/video/BV1ZTRJBDEc6?p=10,2026-05-06 01:17:39,BV1ZTRJBDEc6,10
178,パプリカ,Foorin,https://www.bilibili.com/video/BV1ZTRJBDEc6?p=13,2026-05-06 01:17:39,BV1ZTRJBDEc6,13
179,ハム太郎とっとこうた,ハムちゃんず,https://www.bilibili.com/video/BV1ZTRJBDEc6?p=6,2026-05-06 01:17:39,BV1ZTRJBDEc6,6
