title,artist,sourceAlias,source,collection,link,bvid,page,pubdate,pubdateFormatted,viewCount,cover,normalizedTitle,vocaloidReasons
Heart Beats,emon(Tes.) feat. 巡音ルカ,稀羽すう,suu_usuwa.js,【🦢歌切】[2026-07-11]周六下午再见 稀羽すう - Suu Usuwa -,https://www.bilibili.com/video/BV1k9Nc6XEHd?p=1,BV1k9Nc6XEHd,1,1783767152,2026-07-11 18:52:32,17,https://i0.hdslb.com/bfs/archive/c8f313cca91884924160359be1c5698ca128bb95.png@160w_90h_1c.webp,heartbeats,音源/术力口词:巡音ルカ
BRAIN,Kanaria,稀羽すう,suu_usuwa.js,【🦢歌切】[2026-07-11]周六下午再见 稀羽すう - Suu Usuwa -,https://www.bilibili.com/video/BV1k9Nc6XEHd?p=2,BV1k9Nc6XEHd,2,1783767152,2026-07-11 18:52:32,17,https://i0.hdslb.com/bfs/archive/c8f313cca91884924160359be1c5698ca128bb95.png@160w_90h_1c.webp,brain,P主/术力口作者:Kanaria
深昏睡,春野 feat. 初音ミク,稀羽すう,suu_usuwa.js,【🦢歌切】[2026-07-11]周六下午再见 稀羽すう - Suu Usuwa -,https://www.bilibili.com/video/BV1k9Nc6XEHd?p=3,BV1k9Nc6XEHd,3,1783767152,2026-07-11 18:52:32,17,https://i0.hdslb.com/bfs/archive/c8f313cca91884924160359be1c5698ca128bb95.png@160w_90h_1c.webp,深昏睡,音源/术力口词:初音ミク
ワールドイズマイン (CPK! Remix),ryo (supercell) feat. 初音ミク,稀羽すう,suu_usuwa.js,【🦢歌切】[2026-07-11]周六下午再见 稀羽すう - Suu Usuwa -,https://www.bilibili.com/video/BV1k9Nc6XEHd?p=4,BV1k9Nc6XEHd,4,1783767152,2026-07-11 18:52:32,17,https://i0.hdslb.com/bfs/archive/c8f313cca91884924160359be1c5698ca128bb95.png@160w_90h_1c.webp,ワルドイズマインcpkremix,音源/术力口词:初音ミク
とても素敵な六月でした,Eight feat. 初音ミク,碧生ねの,neno.js,【歌切】[2026-07-10]悠闲早晨的竖屏歌回🎶 Neonoah Ch. 碧生ねの,https://www.bilibili.com/video/BV1cpNj6cEcp?p=1,BV1cpNj6cEcp,1,1783655354,2026-07-10 11:49:14,178,https://i2.hdslb.com/bfs/archive/ae3283194ac203e7acec9c86157a42c28de8b7fe.png@160w_90h_1c.webp,とても素敵な六月でした,音源/术力口词:初音ミク
死んでしまったのだろうか,Guiano feat. flower,碧生ねの,neno.js,【歌切】[2026-07-10]悠闲早晨的竖屏歌回🎶 Neonoah Ch. 碧生ねの,https://www.bilibili.com/video/BV1cpNj6cEcp?p=5,BV1cpNj6cEcp,5,1783655354,2026-07-10 11:49:14,178,https://i2.hdslb.com/bfs/archive/ae3283194ac203e7acec9c86157a42c28de8b7fe.png@160w_90h_1c.webp,死んでしまつたのだろうか,音源/术力口词:v flower | P主/术力口作者:Guiano
金曜日のおはよう,HoneyWorks feat. GUMI,碧生ねの,neno.js,【歌切】[2026-07-10]悠闲早晨的竖屏歌回🎶 Neonoah Ch. 碧生ねの,https://www.bilibili.com/video/BV1cpNj6cEcp?p=7,BV1cpNj6cEcp,7,1783655354,2026-07-10 11:49:14,178,https://i2.hdslb.com/bfs/archive/ae3283194ac203e7acec9c86157a42c28de8b7fe.png@160w_90h_1c.webp,金曜日のおはよう,音源/术力口词:GUMI/Megpoid
シャルル,バルーン feat. flower,非常驻妹妹,others.js,甘音あむ / Amane Amu歌切 2026-07-09 午间歌唱练习会🐢🐢🐢,https://www.bilibili.com/video/BV1SNNj6rEet?p=13,BV1SNNj6rEet,13,1783655266,2026-07-10 11:47:46,72,https://i0.hdslb.com/bfs/archive/728fdbf12d019e871eee092ccdb21e2fb2e45b92.png@160w_90h_1c.webp,シャルル,音源/术力口词:v flower | P主/术力口作者:バルーン | 已知术力口曲名:シャルル
フォニイ,ツミキ feat. 可不,非常驻妹妹,others.js,甘音あむ / Amane Amu歌切 2026-07-09 午间歌唱练习会🐢🐢🐢,https://www.bilibili.com/video/BV1SNNj6rEet?p=15,BV1SNNj6rEet,15,1783655266,2026-07-10 11:47:46,72,https://i0.hdslb.com/bfs/archive/728fdbf12d019e871eee092ccdb21e2fb2e45b92.png@160w_90h_1c.webp,フォニイ,音源/术力口词:可不/KAFU | P主/术力口作者:ツミキ | 已知术力口曲名:フォニイ
ちっちゃな私,マサラダ feat. 重音テトSV,非常驻妹妹,others.js,甘音あむ / Amane Amu歌切 2026-07-09 午间歌唱练习会🐢🐢🐢,https://www.bilibili.com/video/BV1SNNj6rEet?p=16,BV1SNNj6rEet,16,1783655266,2026-07-10 11:47:46,72,https://i0.hdslb.com/bfs/archive/728fdbf12d019e871eee092ccdb21e2fb2e45b92.png@160w_90h_1c.webp,ちつちやな私,音源/术力口词:重音テト/UTAU | 音源/术力口词:SynthV/NEUTRINO/VoiSona
㋰責任集合体,マサラダ feat. 重音テトSV,非常驻妹妹,others.js,甘音あむ / Amane Amu歌切 2026-07-09 午间歌唱练习会🐢🐢🐢,https://www.bilibili.com/video/BV1SNNj6rEet?p=17,BV1SNNj6rEet,17,1783655266,2026-07-10 11:47:46,72,https://i0.hdslb.com/bfs/archive/728fdbf12d019e871eee092ccdb21e2fb2e45b92.png@160w_90h_1c.webp,ム責任集合体,音源/术力口词:重音テト/UTAU | 音源/术力口词:SynthV/NEUTRINO/VoiSona
高音厨音域テスト,木村わいP feat. 初音ミク,非常驻妹妹,others.js,甘音あむ / Amane Amu歌切 2026-07-09 午间歌唱练习会🐢🐢🐢,https://www.bilibili.com/video/BV1SNNj6rEet?p=18,BV1SNNj6rEet,18,1783655266,2026-07-10 11:47:46,72,https://i0.hdslb.com/bfs/archive/728fdbf12d019e871eee092ccdb21e2fb2e45b92.png@160w_90h_1c.webp,高音厨音域テスト,音源/术力口词:初音ミク
地球最後の告白を,kemu feat. GUMI,非常驻妹妹,others.js,空奏イト / Ito Channel【ミクスト】歌切 2026-07-09 只唱催泪的歌，献给你哦,https://www.bilibili.com/video/BV1UNNj6rExx?p=1,BV1UNNj6rExx,1,1783655200,2026-07-10 11:46:40,58,https://i0.hdslb.com/bfs/archive/1f6e96a4c076756e2984c14424c50b17aa95c695.png@160w_90h_1c.webp,地球最後の告白を,音源/术力口词:GUMI/Megpoid | P主/术力口作者:kemu | 已知术力口曲名:地球最後の告白を
四季刻歌,綿飴 feat. IA,非常驻妹妹,others.js,空奏イト / Ito Channel【ミクスト】歌切 2026-07-09 只唱催泪的歌，献给你哦,https://www.bilibili.com/video/BV1UNNj6rExx?p=4,BV1UNNj6rExx,4,1783655200,2026-07-10 11:46:40,58,https://i0.hdslb.com/bfs/archive/1f6e96a4c076756e2984c14424c50b17aa95c695.png@160w_90h_1c.webp,四季刻歌,音源/术力口词:IA
ドナーソング,れるりり×もじゃ feat. GUMI,非常驻妹妹,others.js,空奏イト / Ito Channel【ミクスト】歌切 2026-07-09 只唱催泪的歌，献给你哦,https://www.bilibili.com/video/BV1UNNj6rExx?p=5,BV1UNNj6rExx,5,1783655200,2026-07-10 11:46:40,58,https://i0.hdslb.com/bfs/archive/1f6e96a4c076756e2984c14424c50b17aa95c695.png@160w_90h_1c.webp,ドナソング,音源/术力口词:GUMI/Megpoid | P主/术力口作者:れるりり
KING,Kanaria feat. GUMI,323,323.js,【歌切】[2026-07-09]初见◎BGM◎术力口限定献唱！！ 323,https://www.bilibili.com/video/BV1UNNj6rEXo?p=1,BV1UNNj6rEXo,1,1783654933,2026-07-10 11:42:13,50,https://i2.hdslb.com/bfs/archive/aeb593768b33039d46f889ab8040dd0c05e5ce56.png@160w_90h_1c.webp,king,音源/术力口词:GUMI/Megpoid | P主/术力口作者:Kanaria | 已知术力口曲名:KING
ヴァンパイア,DECO*27 feat. 初音ミク,323,323.js,【歌切】[2026-07-09]初见◎BGM◎术力口限定献唱！！ 323,https://www.bilibili.com/video/BV1UNNj6rEXo?p=2,BV1UNNj6rEXo,2,1783654933,2026-07-10 11:42:13,50,https://i2.hdslb.com/bfs/archive/aeb593768b33039d46f889ab8040dd0c05e5ce56.png@160w_90h_1c.webp,ヴァンパイア,音源/术力口词:初音ミク | P主/术力口作者:DECO*27 | 已知术力口曲名:ヴァンパイア
フォニイ,ツミキ feat. 可不,323,323.js,【歌切】[2026-07-09]初见◎BGM◎术力口限定献唱！！ 323,https://www.bilibili.com/video/BV1UNNj6rEXo?p=3,BV1UNNj6rEXo,3,1783654933,2026-07-10 11:42:13,50,https://i2.hdslb.com/bfs/archive/aeb593768b33039d46f889ab8040dd0c05e5ce56.png@160w_90h_1c.webp,フォニイ,音源/术力口词:可不/KAFU | P主/术力口作者:ツミキ | 已知术力口曲名:フォニイ
神っぽいな,ピノキオピー feat. 初音ミク,323,323.js,【歌切】[2026-07-09]初见◎BGM◎术力口限定献唱！！ 323,https://www.bilibili.com/video/BV1UNNj6rEXo?p=4,BV1UNNj6rEXo,4,1783654933,2026-07-10 11:42:13,50,https://i2.hdslb.com/bfs/archive/aeb593768b33039d46f889ab8040dd0c05e5ce56.png@160w_90h_1c.webp,神つぽいな,音源/术力口词:初音ミク | P主/术力口作者:ピノキオピー | 已知术力口曲名:神っぽいな
フラジール,ぬゆり feat. GUMI,323,323.js,【歌切】[2026-07-09]初见◎BGM◎术力口限定献唱！！ 323,https://www.bilibili.com/video/BV1UNNj6rEXo?p=5,BV1UNNj6rEXo,5,1783654933,2026-07-10 11:42:13,50,https://i2.hdslb.com/bfs/archive/aeb593768b33039d46f889ab8040dd0c05e5ce56.png@160w_90h_1c.webp,フラジル,音源/术力口词:GUMI/Megpoid | P主/术力口作者:ぬゆり | 已知术力口曲名:フラジール
ずうっといっしょ！,キタニタツヤ,323,323.js,【歌切】[2026-07-09]初见◎BGM◎术力口限定献唱！！ 323,https://www.bilibili.com/video/BV1UNNj6rEXo?p=6,BV1UNNj6rEXo,6,1783654933,2026-07-10 11:42:13,50,https://i2.hdslb.com/bfs/archive/aeb593768b33039d46f889ab8040dd0c05e5ce56.png@160w_90h_1c.webp,ずうつといつしよ,已知术力口曲名:ずうっといっしょ！
エンヴィーベイビー,Kanaria feat. GUMI,323,323.js,【歌切】[2026-07-09]初见◎BGM◎术力口限定献唱！！ 323,https://www.bilibili.com/video/BV1UNNj6rEXo?p=7,BV1UNNj6rEXo,7,1783654933,2026-07-10 11:42:13,50,https://i2.hdslb.com/bfs/archive/aeb593768b33039d46f889ab8040dd0c05e5ce56.png@160w_90h_1c.webp,エンヴィベイビ,音源/术力口词:GUMI/Megpoid | P主/术力口作者:Kanaria | 已知术力口曲名:エンヴィーベイビー
レクイエム,Kanaria feat. 星街すいせい,323,323.js,【歌切】[2026-07-09]初见◎BGM◎术力口限定献唱！！ 323,https://www.bilibili.com/video/BV1UNNj6rEXo?p=8,BV1UNNj6rEXo,8,1783654933,2026-07-10 11:42:13,50,https://i2.hdslb.com/bfs/archive/aeb593768b33039d46f889ab8040dd0c05e5ce56.png@160w_90h_1c.webp,レクイエム,P主/术力口作者:Kanaria
MIRA,Kanaria feat. 小春六花,323,323.js,【歌切】[2026-07-09]初见◎BGM◎术力口限定献唱！！ 323,https://www.bilibili.com/video/BV1UNNj6rEXo?p=9,BV1UNNj6rEXo,9,1783654933,2026-07-10 11:42:13,50,https://i2.hdslb.com/bfs/archive/aeb593768b33039d46f889ab8040dd0c05e5ce56.png@160w_90h_1c.webp,mira,音源/术力口词:SynthV/NEUTRINO/VoiSona | P主/术力口作者:Kanaria
アイデンティティ,Kanaria feat. GUMI・初音ミク,323,323.js,【歌切】[2026-07-09]初见◎BGM◎术力口限定献唱！！ 323,https://www.bilibili.com/video/BV1UNNj6rEXo?p=10,BV1UNNj6rEXo,10,1783654933,2026-07-10 11:42:13,50,https://i2.hdslb.com/bfs/archive/aeb593768b33039d46f889ab8040dd0c05e5ce56.png@160w_90h_1c.webp,アイデンティティ,音源/术力口词:初音ミク | 音源/术力口词:GUMI/Megpoid | P主/术力口作者:Kanaria | 已知术力口曲名:アイデンティティ
モニタリング,DECO*27 feat. 初音ミク,323,323.js,【歌切】[2026-07-09]初见◎BGM◎术力口限定献唱！！ 323,https://www.bilibili.com/video/BV1UNNj6rEXo?p=11,BV1UNNj6rEXo,11,1783654933,2026-07-10 11:42:13,50,https://i2.hdslb.com/bfs/archive/aeb593768b33039d46f889ab8040dd0c05e5ce56.png@160w_90h_1c.webp,モニタリング,音源/术力口词:初音ミク | P主/术力口作者:DECO*27
きゅうくらりん,いよわ feat. 可不,323,323.js,【歌切】[2026-07-09]初见◎BGM◎术力口限定献唱！！ 323,https://www.bilibili.com/video/BV1UNNj6rEXo?p=12,BV1UNNj6rEXo,12,1783654933,2026-07-10 11:42:13,50,https://i2.hdslb.com/bfs/archive/aeb593768b33039d46f889ab8040dd0c05e5ce56.png@160w_90h_1c.webp,きゆうくらりん,音源/术力口词:可不/KAFU | P主/术力口作者:いよわ | 已知术力口曲名:きゅうくらりん
ダーリンダンス,かいりきベア feat. 初音ミク,323,323.js,【歌切】[2026-07-09]初见◎BGM◎术力口限定献唱！！ 323,https://www.bilibili.com/video/BV1UNNj6rEXo?p=13,BV1UNNj6rEXo,13,1783654933,2026-07-10 11:42:13,50,https://i2.hdslb.com/bfs/archive/aeb593768b33039d46f889ab8040dd0c05e5ce56.png@160w_90h_1c.webp,ダリンダンス,音源/术力口词:初音ミク | P主/术力口作者:かいりきベア | 已知术力口曲名:ダーリンダンス
いーあるふぁんくらぶ,みきとP feat. GUMI・鏡音リン,323,323.js,【歌切】[2026-07-09]初见◎BGM◎术力口限定献唱！！ 323,https://www.bilibili.com/video/BV1UNNj6rEXo?p=14,BV1UNNj6rEXo,14,1783654933,2026-07-10 11:42:13,50,https://i2.hdslb.com/bfs/archive/aeb593768b33039d46f889ab8040dd0c05e5ce56.png@160w_90h_1c.webp,いあるふあんくらぶ,音源/术力口词:鏡音リン/レン | 音源/术力口词:GUMI/Megpoid | P主/术力口作者:みきとP | 已知术力口曲名:いーあるふぁんくらぶ
ヤンキーボーイ・ヤンキーガール,トーマ feat. GUMI,323,323.js,【歌切】[2026-07-08]初见◎BGM◎术力口限定歌回！！ 323,https://www.bilibili.com/video/BV18VME6RE4c?p=1,BV18VME6RE4c,1,1783565382,2026-07-09 10:49:42,105,https://i0.hdslb.com/bfs/archive/c925ef988497d8d0a8ec00625202bccf3f483359.png@160w_90h_1c.webp,ヤンキボイヤンキガル,音源/术力口词:GUMI/Megpoid | P主/术力口作者:トーマ
魔法少女幸福論,トーマ feat. 初音ミク,323,323.js,【歌切】[2026-07-08]初见◎BGM◎术力口限定歌回！！ 323,https://www.bilibili.com/video/BV18VME6RE4c?p=2,BV18VME6RE4c,2,1783565382,2026-07-09 10:49:42,105,https://i0.hdslb.com/bfs/archive/c925ef988497d8d0a8ec00625202bccf3f483359.png@160w_90h_1c.webp,魔法少女幸福論,音源/术力口词:初音ミク | P主/术力口作者:トーマ
ブリキノダンス,日向電工 feat. 初音ミク,323,323.js,【歌切】[2026-07-08]初见◎BGM◎术力口限定歌回！！ 323,https://www.bilibili.com/video/BV18VME6RE4c?p=3,BV18VME6RE4c,3,1783565382,2026-07-09 10:49:42,105,https://i0.hdslb.com/bfs/archive/c925ef988497d8d0a8ec00625202bccf3f483359.png@160w_90h_1c.webp,ブリキノダンス,音源/术力口词:初音ミク | P主/术力口作者:日向電工
夜咄ディセイブ,じん feat. IA,323,323.js,【歌切】[2026-07-08]初见◎BGM◎术力口限定歌回！！ 323,https://www.bilibili.com/video/BV18VME6RE4c?p=4,BV18VME6RE4c,4,1783565382,2026-07-09 10:49:42,105,https://i0.hdslb.com/bfs/archive/c925ef988497d8d0a8ec00625202bccf3f483359.png@160w_90h_1c.webp,夜咄ディセイブ,音源/术力口词:IA | P主/术力口作者:じん | 已知术力口曲名:夜咄ディセイブ
深海少女,ゆうゆ feat. 初音ミク,323,323.js,【歌切】[2026-07-08]初见◎BGM◎术力口限定歌回！！ 323,https://www.bilibili.com/video/BV18VME6RE4c?p=5,BV18VME6RE4c,5,1783565382,2026-07-09 10:49:42,105,https://i0.hdslb.com/bfs/archive/c925ef988497d8d0a8ec00625202bccf3f483359.png@160w_90h_1c.webp,深海少女,音源/术力口词:初音ミク | P主/术力口作者:ゆうゆ | 已知术力口曲名:深海少女
グッバイ宣言,Chinozo feat. v flower,323,323.js,【歌切】[2026-07-08]初见◎BGM◎术力口限定歌回！！ 323,https://www.bilibili.com/video/BV18VME6RE4c?p=6,BV18VME6RE4c,6,1783565382,2026-07-09 10:49:42,105,https://i0.hdslb.com/bfs/archive/c925ef988497d8d0a8ec00625202bccf3f483359.png@160w_90h_1c.webp,グッバイ宣言,音源/术力口词:v flower | P主/术力口作者:Chinozo
恋愛裁判,40mP feat. 初音ミク,323,323.js,【歌切】[2026-07-08]初见◎BGM◎术力口限定歌回！！ 323,https://www.bilibili.com/video/BV18VME6RE4c?p=7,BV18VME6RE4c,7,1783565382,2026-07-09 10:49:42,105,https://i0.hdslb.com/bfs/archive/c925ef988497d8d0a8ec00625202bccf3f483359.png@160w_90h_1c.webp,恋愛裁判,音源/术力口词:初音ミク | P主/术力口作者:40mP | 已知术力口曲名:恋愛裁判
magnet,minato(流星P) feat. 初音ミク・巡音ルカ,323,323.js,【歌切】[2026-07-08]初见◎BGM◎术力口限定歌回！！ 323,https://www.bilibili.com/video/BV18VME6RE4c?p=8,BV18VME6RE4c,8,1783565382,2026-07-09 10:49:42,105,https://i0.hdslb.com/bfs/archive/c925ef988497d8d0a8ec00625202bccf3f483359.png@160w_90h_1c.webp,magnet,音源/术力口词:初音ミク | 音源/术力口词:巡音ルカ | P主/术力口作者:流星P | 已知术力口曲名:magnet
シャルル,バルーン feat. flower,323,323.js,【歌切】[2026-07-08]初见◎BGM◎术力口限定歌回！！ 323,https://www.bilibili.com/video/BV18VME6RE4c?p=9,BV18VME6RE4c,9,1783565382,2026-07-09 10:49:42,105,https://i0.hdslb.com/bfs/archive/c925ef988497d8d0a8ec00625202bccf3f483359.png@160w_90h_1c.webp,シャルル,音源/术力口词:v flower | P主/术力口作者:バルーン | 已知术力口曲名:シャルル
竹取オーバーナイトセンセーション,HoneyWorks feat. 鏡音リン・鏡音レン,323,323.js,【歌切】[2026-07-08]初见◎BGM◎术力口限定歌回！！ 323,https://www.bilibili.com/video/BV18VME6RE4c?p=10,BV18VME6RE4c,10,1783565382,2026-07-09 10:49:42,105,https://i0.hdslb.com/bfs/archive/c925ef988497d8d0a8ec00625202bccf3f483359.png@160w_90h_1c.webp,竹取オバナイトセンセション,音源/术力口词:鏡音リン/レン
ギガンティックO.T.N,ギガP feat. 鏡音レン,323,323.js,【歌切】[2026-07-08]初见◎BGM◎术力口限定歌回！！ 323,https://www.bilibili.com/video/BV18VME6RE4c?p=11,BV18VME6RE4c,11,1783565382,2026-07-09 10:49:42,105,https://i0.hdslb.com/bfs/archive/c925ef988497d8d0a8ec00625202bccf3f483359.png@160w_90h_1c.webp,ギガンティックotn,音源/术力口词:鏡音リン/レン | P主/术力口作者:Giga | 已知术力口曲名:ギガンティックO.T.N
妄想税,DECO*27 feat. 初音ミク,323,323.js,【歌切】[2026-07-08]初见◎BGM◎术力口限定歌回！！ 323,https://www.bilibili.com/video/BV18VME6RE4c?p=12,BV18VME6RE4c,12,1783565382,2026-07-09 10:49:42,105,https://i0.hdslb.com/bfs/archive/c925ef988497d8d0a8ec00625202bccf3f483359.png@160w_90h_1c.webp,妄想税,音源/术力口词:初音ミク | P主/术力口作者:DECO*27 | 已知术力口曲名:妄想税
ロケットサイダー,ナユタン星人 feat. 初音ミク,323,323.js,【歌切】[2026-07-08]初见◎BGM◎术力口限定歌回！！ 323,https://www.bilibili.com/video/BV18VME6RE4c?p=13,BV18VME6RE4c,13,1783565382,2026-07-09 10:49:42,105,https://i0.hdslb.com/bfs/archive/c925ef988497d8d0a8ec00625202bccf3f483359.png@160w_90h_1c.webp,ロケットサイダ,音源/术力口词:初音ミク | P主/术力口作者:ナユタン星人
おねがいダーリン,ナナホシ管弦楽団 feat. ONE,323,323.js,【歌切】[2026-07-08]初见◎BGM◎术力口限定歌回！！ 323,https://www.bilibili.com/video/BV18VME6RE4c?p=14,BV18VME6RE4c,14,1783565382,2026-07-09 10:49:42,105,https://i0.hdslb.com/bfs/archive/c925ef988497d8d0a8ec00625202bccf3f483359.png@160w_90h_1c.webp,おねがいダリン,P主/术力口作者:ナナホシ管弦楽団
心拍数♯0822,蝶々P feat. 初音ミク,323,323.js,【歌切】[2026-07-08]初见◎BGM◎术力口限定歌回！！ 323,https://www.bilibili.com/video/BV18VME6RE4c?p=15,BV18VME6RE4c,15,1783565382,2026-07-09 10:49:42,105,https://i0.hdslb.com/bfs/archive/c925ef988497d8d0a8ec00625202bccf3f483359.png@160w_90h_1c.webp,心拍数♯0822,音源/术力口词:初音ミク | P主/术力口作者:蝶々P
ロミオとシンデレラ,doriko feat. 初音ミク,323,323.js,【歌切】[2026-07-08]初见◎BGM◎术力口限定歌回！！ 323,https://www.bilibili.com/video/BV18VME6RE4c?p=16,BV18VME6RE4c,16,1783565382,2026-07-09 10:49:42,105,https://i0.hdslb.com/bfs/archive/c925ef988497d8d0a8ec00625202bccf3f483359.png@160w_90h_1c.webp,ロミオとシンデレラ,音源/术力口词:初音ミク | P主/术力口作者:doriko | 已知术力口曲名:ロミオとシンデレラ
アンノウン・マザーグース,wowaka feat. 初音ミク,323,323.js,【歌切】[2026-07-08]初见◎BGM◎术力口限定歌回！！ 323,https://www.bilibili.com/video/BV18VME6RE4c?p=17,BV18VME6RE4c,17,1783565382,2026-07-09 10:49:42,105,https://i0.hdslb.com/bfs/archive/c925ef988497d8d0a8ec00625202bccf3f483359.png@160w_90h_1c.webp,アンノウンマザグス,音源/术力口词:初音ミク | P主/术力口作者:wowaka | 已知术力口曲名:アンノウン・マザーグース
少女レイ,みきとP feat. 初音ミク,323,323.js,【歌切】[2026-07-08]初见◎BGM◎术力口限定歌回！！ 323,https://www.bilibili.com/video/BV18VME6RE4c?p=18,BV18VME6RE4c,18,1783565382,2026-07-09 10:49:42,105,https://i0.hdslb.com/bfs/archive/c925ef988497d8d0a8ec00625202bccf3f483359.png@160w_90h_1c.webp,少女レイ,音源/术力口词:初音ミク | P主/术力口作者:みきとP | 已知术力口曲名:少女レイ
