title,artist,source,sourceAlias,collection,bvid,page,pubdateFormatted,link,auditReasons,pendingTitleReasons
オリオンをなぞる,UNISON SQUARE GARDEN,ibaramuan.js,茨むあん,【歌切】[2026-07-05]喜欢动漫歌曲和术力口的人快来集合！欢迎新朋友。 Muan ch.茨むあん,BV17kTU6WE1u,21,2026-07-06 06:16:07,https://www.bilibili.com/video/BV17kTU6WE1u?p=21,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
深愛,水樹奈々,ibaramuan.js,茨むあん,【歌切】[2026-07-05]喜欢动漫歌曲和术力口的人快来集合！欢迎新朋友。 Muan ch.茨むあん,BV17kTU6WE1u,22,2026-07-06 06:16:07,https://www.bilibili.com/video/BV17kTU6WE1u?p=22,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
THE DAY,ポルノグラフィティ,ibaramuan.js,茨むあん,【歌切】[2026-07-05]喜欢动漫歌曲和术力口的人快来集合！欢迎新朋友。 Muan ch.茨むあん,BV17kTU6WE1u,25,2026-07-06 06:16:07,https://www.bilibili.com/video/BV17kTU6WE1u?p=25,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
第六感,Reol,ibaramuan.js,茨むあん,【歌切】[2026-07-05]喜欢动漫歌曲和术力口的人快来集合！欢迎新朋友。 Muan ch.茨むあん,BV17kTU6WE1u,26,2026-07-06 06:16:07,https://www.bilibili.com/video/BV17kTU6WE1u?p=26,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
アゲハ蝶,ポルノグラフィティ,ibaramuan.js,茨むあん,【歌切】[2026-07-05]喜欢动漫歌曲和术力口的人快来集合！欢迎新朋友。 Muan ch.茨むあん,BV17kTU6WE1u,27,2026-07-06 06:16:07,https://www.bilibili.com/video/BV17kTU6WE1u?p=27,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
Stellar Stellar,星街すいせい,yamadasharo.js,山田シャロ,【歌切】[2026-07-03]动漫歌曲与术力口✨为你带来活力的歌回 🎤🍻👑 SHALO YAMADA -Vsinger-,BV1DHMw6VESA,1,2026-07-04 19:05:27,https://www.bilibili.com/video/BV1DHMw6VESA?p=1,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
青空のラプソディ,fhána,yamadasharo.js,山田シャロ,【歌切】[2026-07-03]动漫歌曲与术力口✨为你带来活力的歌回 🎤🍻👑 SHALO YAMADA -Vsinger-,BV1DHMw6VESA,2,2026-07-04 19:05:27,https://www.bilibili.com/video/BV1DHMw6VESA?p=2,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
不確定性☆COSMIC MOVEMENT,ワルキューレ,yamadasharo.js,山田シャロ,【歌切】[2026-07-03]动漫歌曲与术力口✨为你带来活力的歌回 🎤🍻👑 SHALO YAMADA -Vsinger-,BV1DHMw6VESA,3,2026-07-04 19:05:27,https://www.bilibili.com/video/BV1DHMw6VESA?p=3,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
甲賀忍法帖,陰陽座,yamadasharo.js,山田シャロ,【歌切】[2026-07-03]动漫歌曲与术力口✨为你带来活力的歌回 🎤🍻👑 SHALO YAMADA -Vsinger-,BV1DHMw6VESA,4,2026-07-04 19:05:27,https://www.bilibili.com/video/BV1DHMw6VESA?p=4,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
IRIS OUT,米津玄師,yamadasharo.js,山田シャロ,【歌切】[2026-07-03]动漫歌曲与术力口✨为你带来活力的歌回 🎤🍻👑 SHALO YAMADA -Vsinger-,BV1DHMw6VESA,5,2026-07-04 19:05:27,https://www.bilibili.com/video/BV1DHMw6VESA?p=5,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
innocent starter,水樹奈々,yamadasharo.js,山田シャロ,【歌切】[2026-07-03]动漫歌曲与术力口✨为你带来活力的歌回 🎤🍻👑 SHALO YAMADA -Vsinger-,BV1DHMw6VESA,6,2026-07-04 19:05:27,https://www.bilibili.com/video/BV1DHMw6VESA?p=6,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
ETERNAL BLAZE,水樹奈々,yamadasharo.js,山田シャロ,【歌切】[2026-07-03]动漫歌曲与术力口✨为你带来活力的歌回 🎤🍻👑 SHALO YAMADA -Vsinger-,BV1DHMw6VESA,7,2026-07-04 19:05:27,https://www.bilibili.com/video/BV1DHMw6VESA?p=7,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
禁断のレジスタンス,水樹奈々,yamadasharo.js,山田シャロ,【歌切】[2026-07-03]动漫歌曲与术力口✨为你带来活力的歌回 🎤🍻👑 SHALO YAMADA -Vsinger-,BV1DHMw6VESA,11,2026-07-04 19:05:27,https://www.bilibili.com/video/BV1DHMw6VESA?p=11,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
Angel Blossom,水樹奈々,yamadasharo.js,山田シャロ,【歌切】[2026-07-03]动漫歌曲与术力口✨为你带来活力的歌回 🎤🍻👑 SHALO YAMADA -Vsinger-,BV1DHMw6VESA,12,2026-07-04 19:05:27,https://www.bilibili.com/video/BV1DHMw6VESA?p=12,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
The Bravery,supercell,yamadasharo.js,山田シャロ,【歌切】[2026-07-03]动漫歌曲与术力口✨为你带来活力的歌回 🎤🍻👑 SHALO YAMADA -Vsinger-,BV1DHMw6VESA,13,2026-07-04 19:05:27,https://www.bilibili.com/video/BV1DHMw6VESA?p=13,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
アイドル,YOASOBI,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,1,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=1,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
INVOKE -インヴォーク-,T.M.Revolution,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,2,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=2,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
ウィーアー!,きただにひろし,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,3,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=3,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
Aim for the Star,千代浦蝶美,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,4,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=4,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
鬼ノ宴,友成空,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,5,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=5,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
風になる,つじあやの,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,6,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=6,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
気まぐれロマンティック,いきものがかり,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,7,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=7,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
Climax Jump,AAA DEN-O form,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,8,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=8,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
Get Wild,TM NETWORK,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,9,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=9,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
God knows...,涼宮ハルヒ（平野綾）,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,10,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=10,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
さんぽ,井上あずみ,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,11,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=11,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
唱,Ado,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,12,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=12,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
Starry Heavens,day after tomorrow,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,13,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=13,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
閃光,[Alexandros],chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,14,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=14,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
そして僕にできるコト,day after tomorrow,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,15,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=15,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
魂のルフラン,高橋洋子,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,16,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=16,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
ちあっぷ！,千代浦蝶美,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,17,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=17,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
月のワルツ,諫山実生,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,18,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=18,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
departure!,小野正利,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,19,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=19,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
トウキョウ・シャンディ・ランデヴ,MAISONdes feat. 花譜・ツミキ,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,20,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=20,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
名前のない怪物,EGOIST,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,21,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=21,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
1/2,川本真琴,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,22,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=22,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
NUDIE★,城ヶ崎美嘉（佳村はるか）,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,23,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=23,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
ネコに風船,大塚愛,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,24,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=24,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
No way to say,浜崎あゆみ,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,25,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=25,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
Butterfly Dream,千代浦蝶美,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,26,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=26,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
光るなら,Goose house,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,27,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=27,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
プラネタリウム,大塚愛,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,28,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=28,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
平行線,さユり,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,29,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=29,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
炎,LiSA,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,30,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=30,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
負けないで,ZARD,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,31,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=31,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
Meteor -ミーティア-,T.M.Revolution,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,32,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=32,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
ムーンライト伝説,DALI,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,33,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=33,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
Mela!,緑黄色社会,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,34,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=34,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
モノクロのキス,シド,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,35,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=35,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
やさしさに包まれたなら,荒井由実,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,36,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=36,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
YUME日和,島谷ひとみ,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,37,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=37,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
ようこそジャパリパークへ,どうぶつビスケッツ×PPP,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,38,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=38,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
ら・ら・ら,大黒摩季,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,39,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=39,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
リライト,ASIAN KUNG-FU GENERATION,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,40,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=40,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
ルージュの伝言,荒井由実,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,41,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=41,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
恋愛サーキュレーション,千石撫子（花澤香菜）,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,42,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=42,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
私は最強,Ado,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,44,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=44,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
ン・パカ マーチ,徳光由香,chiyourachomi.js,千代浦蝶美,ちよみch. 千代浦蝶美 /あおぎり高校歌切 2026-06-28 按五十音顺序唱动漫歌、J-POP、术力口等，嗨起来吧～～！！🎤,BV1agKS63EKM,45,2026-06-29 16:08:26,https://www.bilibili.com/video/BV1agKS63EKM?p=45,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
ダーリン,須田景凪,ibaramuan.js,茨むあん,【歌切】[2026-06-20]可能会上瘾哦，要听听看吗？欢迎新观众 Muan ch.茨むあん,BV1e5jJ6pEqn,20,2026-06-20 19:52:03,https://www.bilibili.com/video/BV1e5jJ6pEqn?p=20,高重名标题需要显式音源证据,
再会,はるまきごはん,others.js,非常驻妹妹,羊羊🐏meimei歌切 2026-05-09 羊羊白夜 第四十四夜,BV1myjz6YE7C,14,2026-06-20 01:41:58,https://www.bilibili.com/video/BV1myjz6YE7C?p=14,高重名标题需要显式音源证据,
少女S,SCANDAL,ibaramuan.js,茨むあん,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,BV18FjT65EJJ,1,2026-06-16 04:26:22,https://www.bilibili.com/video/BV18FjT65EJJ?p=1,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
chAngE,miwa,ibaramuan.js,茨むあん,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,BV18FjT65EJJ,2,2026-06-16 04:26:22,https://www.bilibili.com/video/BV18FjT65EJJ?p=2,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
一度だけの恋なら,ワルキューレ,ibaramuan.js,茨むあん,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,BV18FjT65EJJ,5,2026-06-16 04:26:22,https://www.bilibili.com/video/BV18FjT65EJJ?p=5,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
いけないボーダーライン,ワルキューレ,ibaramuan.js,茨むあん,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,BV18FjT65EJJ,6,2026-06-16 04:26:22,https://www.bilibili.com/video/BV18FjT65EJJ?p=6,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
